Ballpark,Park ID,Teams,Opened,Closed,Capacity,Cost,Turf,Dimensions
American League Park,NA,Washington Senators,1901,1910,"10,000",Unknown,Grass,Unknown
Angel Stadium,ANA01,Los Angeles Angels,1966,,"45,493",$24 Million,Grass,330-396-330
Arlington Stadium,ARL01,Texas Rangers,1966,1993,"43,521",$19 Million,Grass,330-400-330
Astrodome,HOU02,Houston Astros,1965,1999,"54,816",$95 Million,AstroTurf,330-400-330
AT&T Park,SFO03,San Francisco Giants,2000,,"41,915",$255 Million,Grass,339-399-339
Atlanta Fulton County,ATL01,Atlanta Braves,1966,1995,"52,013",$18 Million,Grass,330-402-330
Baker Bowl,PHI09,Philadelphia Phillies,1895,1938,"18,000","$80,000 ",Grass,Unknown
Braves Field,BOS08,Boston Braves,1915,1952,"42,000","$500,000 ",Grass,337-370-319
Busch Stadium,STL10,St. Louis Cardinals,2006,,"46,200",$411 Million,Grass,336-400-335
Busch Stadium,STL09,St. Louis Cardinals,1966,2005,"49,676",$55 Million,Grass,330-402-330
Camden Yards,NA,Baltimore Orioles,1992,,"45,971",$110 Million,Grass,337-406-330
Candlestick Park,SFO02,San Francisco Giants,1960,1999,"57,546",$21.1 Million,Grass,335-400-330
Chase Field,PHO01,Arizona Diamondbacks,1998,,"48,519",$354 Million,Grass,330-407-335
Citi Field,NYC20,New York Mets,2009,,"45,000",$632 Million,Grass,335-405-330
Citizens Bank Park,PHI13,Philadelphia Phillies,2004,,"43,826",$458 Million,Grass,330-401-339
Cleveland Municipal,CLE07,Cleveland Indians,1932,1993,"74,400",$11.6 Million,Grass,320-404-320
Colt Stadium,HOU01,Houston Astros,1962,1964,"33,000",$2 Million,Grass,360-420-360
Columbia Park,PHI10,Philadelphia A's,1901,1908,"9,500","$40,000 ",Grass,Unknown
Comerica Park,DET05,Detroit Tigers,2000,,"41,574",$300 Million,Grass,345-420-340
Comiskey Park,CHI10,Chicago White Sox,1910,1990,"52,000",$1.7 Million,Grass,347-409-347
Coors Field,DEN02,Colorado Rockies,1995,,"50,398",$115 Million,Grass,347-415-340
County Stadium,MIL05,Milwaukee Brewers,1953,2000,"53,192",$5 Million,Grass,315-402-315
Crosley Field,CIN07,Cincinnati Reds,1912,1970,"29,400","$225,000 ",Grass,328-387-366
Dodger Stadium,LOS03,Los Angeles Dodgers,1962,,"56,000",$23 Million,Grass,330-400-330
Ebbets Field,NYC15,Brooklyn Dodgers,1913,1957,"32,000","$750,000 ",Grass,348-393-297
Exhibition Stadium,TOR01,Toronto BlueJays,1977,1989,"43,737",$17.6 Million,AstroTurf,330-400-330
Exposition Park,NA,Pittsburgh Pirates,1890,1914,"16,500",Unknown,Grass,400-450-400
Fenway Park,BOS07,Boston Red Sox,1912,,"37,673","$650,000 ",Grass,310-420-312
Forbes Field,PIT06,Pittsburgh Pirates,1909,1970,"35,000",$1 Million,Grass,365-400-300
