LEAGUE,YEAR,TID,TEAM NAME,PARK,HOME GAMES,ATTENDANCE,ATT/G,LAA
AL,1901,MLA,Milwaukee Brewers,Lloyd Street Grounds,70,139034,2030,210448
AL,1902,SLA,St. Louis Browns,Sportsman's Park,73,272283,3890,275807
AL,1903,SLA,St. Louis Browns,Sportsman's Park,70,380405,5474,293111
AL,1904,SLA,St. Louis Browns,Sportsman's Park,78,318108,4078,378004
AL,1905,SLA,St. Louis Browns,Sportsman's Park,79,339112,4348,390094
AL,1906,SLA,St. Louis Browns,Sportsman's Park,76,389157,5054,367260
AL,1907,SLA,St. Louis Browns,Sportsman's Park,76,419025,5407,424846
AL,1908,SLA,St. Louis Browns,Sportsman's Park,78,618947,7986,451421
AL,1909,SLA,St. Louis Browns,Sportsman's Park,79,366274,4757,467484
AL,1910,SLA,St. Louis Browns,Sportsman's Park,79,249889,3163,408836
AL,1911,SLA,St. Louis Browns,Sportsman's Park,78,207984,2737,417439
AL,1912,SLA,St. Louis Browns,Sportsman's Park,79,214070,2727,407954
AL,1913,SLA,St. Louis Browns,Sportsman's Park,77,250330,3230,440851
AL,1914,SLA,St. Louis Browns,Sportsman's Park,81,244714,3078,343449
AL,1915,SLA,St. Louis Browns,Sportsman's Park,76,150358,1891,304336
AL,1916,SLA,St. Louis Browns,Sportsman's Park,79,335740,4250,431486
AL,1917,SLA,St. Louis Browns,Sportsman's Park,78,210486,2706,357357
AL,1918,SLA,St. Louis Browns,Sportsman's Park,53,122076,1985,213500
AL,1919,SLA,St. Louis Browns,Sportsman's Park,70,349350,4991,456780
AL,1920,SLA,St. Louis Browns,Sportsman's Park,78,419311,5446,635538
AL,1921,SLA,St. Louis Browns,Sportsman's Park,77,355978,4623,577541
AL,1922,SLA,St. Louis Browns,Sportsman's Park,77,712918,9259,609294
AL,1923,SLA,St. Louis Browns,Sportsman's Park,78,430296,5588,575324
AL,1924,SLA,St. Louis Browns,Sportsman's Park,78,533349,6972,656930
AL,1925,SLA,St. Louis Browns,Sportsman's Park,78,462898,6012,648356
AL,1926,SLA,St. Louis Browns,Sportsman's Park,79,283986,3664,614073
AL,1927,SLA,St. Louis Browns,Sportsman's Park,78,247879,3138,576619
AL,1928,SLA,St. Louis Browns,Sportsman's Park,77,339497,4409,527649
AL,1929,SLA,St. Louis Browns,Sportsman's Park,77,280697,3645,582809
AL,1930,SLA,St. Louis Browns,Sportsman's Park,78,152088,1975,585716
AL,1931,SLA,St. Louis Browns,Sportsman's Park,77,179126,2326,485412
AL,1932,SLA,St. Louis Browns,Sportsman's Park,75,112558,1462,391654
AL,1933,SLA,St. Louis Browns,Sportsman's Park,77,88113,1152,365776
AL,1934,SLA,St. Louis Browns,Sportsman's Park,76,115305,1497,470451
AL,1935,SLA,St. Louis Browns,Sportsman's Park,76,80922,1044,461001
AL,1936,SLA,St. Louis Browns,Sportsman's Park,77,93267,1203,522365
AL,1937,SLA,St. Louis Browns,Sportsman's Park,78,123121,1578,591979
AL,1938,SLA,St. Louis Browns,Sportsman's Park,77,130417,1672,555711
AL,1939,SLA,St. Louis Browns,Sportsman's Park,78,109159,1399,533825
AL,1940,SLA,St. Louis Browns,Sportsman's Park,77,239591,3072,679224
AL,1941,SLA,St. Louis Browns,Sportsman's Park,79,176240,2245,613995
AL,1942,SLA,St. Louis Browns,Sportsman's Park,77,255617,3386,525027
AL,1943,SLA,St. Louis Browns,Sportsman's Park,77,214392,2803,462071
AL,1944,SLA,St. Louis Browns,Sportsman's Park,77,508644,6606,599770
AL,1945,SLA,St. Louis Browns,Sportsman's Park,76,482986,6273,697553
AL,1946,SLA,St. Louis Browns,Sportsman's Park,77,526435,6749,1202648
