Atlanta Falcons,2006,563462,8,70432.75
St. Louis Rams,2006,522610,8,65326.25
New England Patriots,2006,550048,8,68756.0
Chicago Bears,2006,497786,8,62223.25
Tampa Bay Buccaneers,2006,524661,8,65582.625
Kansas City Chiefs,2006,623275,8,77909.375
New York Jets,2006,618575,8,77321.875
Jacksonville Jaguars,2006,534866,8,66858.25
Carolina Panthers,2006,588537,8,73567.125
San Francisco 49ers,2006,545207,8,68150.875
Oakland Raiders,2006,467964,8,58495.5
New York Giants,2006,628910,8,78613.75
Houston Texans,2006,561469,8,70183.625
Pittsburgh Steelers,2006,499461,8,62432.625
Philadelphia Eagles,2006,553794,8,69224.25
Dallas Cowboys,2006,506308,8,63288.5
Green Bay Packers,2006,565749,8,70718.625
Miami Dolphins,2006,585973,8,73246.625
Arizona Cardinals,2006,508829,8,63603.625
Detroit Lions,2006,487116,8,60889.5
New Orleans Saints,2006,550470,8,68808.75
Seattle Seahawks,2006,543820,8,67977.5
Indianapolis Colts,2006,457154,8,57144.25
Cleveland Browns,2006,578672,8,72334.0
Denver Broncos,2006,610782,8,76347.75
Baltimore Ravens,2006,566547,8,70818.375
Buffalo Bills,2006,541169,8,67646.125
San Diego Chargers,2006,531031,8,66378.875
Washington Redskins,2006,701049,8,87631.125
Tennessee Titans,2006,553144,8,69143.0
Minnesota Vikings,2006,509743,8,63717.875
Cincinnati Bengals,2006,527870,8,65983.75
Atlanta Falcons,2012,560773,8,70096.625
Denver Broncos,2012,613062,8,76632.75
New England Patriots,2012,550044,8,68755.5
Chicago Bears,2012,498633,8,62329.125
Cleveland Browns,2012,533058,8,66632.25
Kansas City Chiefs,2012,548070,8,68508.75
New York Jets,2012,632704,8,79088.0
St. Louis Rams,2012,480929,8,60116.125
Jacksonville Jaguars,2012,519872,8,64984.0
Washington Redskins,2012,637236,8,79654.5
San Francisco 49ers,2012,557856,8,69732.0
Oakland Raiders,2012,433732,8,54216.5
New York Giants,2012,643964,8,80495.5
Pittsburgh Steelers,2012,489135,8,61141.875
Houston Texans,2012,573321,8,71665.125
Philadelphia Eagles,2012,553152,8,69144.0
Dallas Cowboys,2012,708249,8,88531.125
Green Bay Packers,2012,564062,8,70507.75
Miami Dolphins,2012,459033,8,57379.125
Arizona Cardinals,2012,487125,8,60890.625
Minnesota Vikings,2012,485802,8,60725.25
New Orleans Saints,2012,583107,8,72888.375
Tampa Bay Buccaneers,2012,440819,8,55102.375
Seattle Seahawks,2012,543570,8,67946.25
Indianapolis Colts,2012,521518,8,65189.75
Baltimore Ravens,2012,570229,8,71278.625
Buffalo Bills,2012,495423,8,61927.875
San Diego Chargers,2012,479716,8,59964.5
Carolina Panthers,2012,586347,8,73293.375
Tennessee Titans,2012,553144,8,69143.0
